"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.21,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.41,0
0,3.8333e-06,0.0001,293.21,0
2.5e-05,0,0.0001,293.28,0
2.5e-05,3.8333e-06,0.0001,293.68,0
3.75e-05,0,0.0001,293.36,0
3.75e-05,3.8333e-06,0.0001,293.98,0
5e-05,0,0.0001,293.45,0
5e-05,3.8333e-06,0.0001,294.33,0
6.25e-05,0,0.0001,293.55,0
6.25e-05,3.8333e-06,0.0001,294.74,0
7.5e-05,0,0.0001,293.67,0
7.5e-05,3.8333e-06,0.0001,295.23,0
8.75e-05,0,0.0001,293.82,0
8.75e-05,3.8333e-06,0.0001,295.81,0
0.0001,0,0.0001,293.99,0
0.0001,3.8333e-06,0.0001,296.5,0
0.0001125,0,0.0001,294.19,0
0.0001125,3.8333e-06,0.0001,297.31,0
0.000125,0,0.0001,294.43,0
0.000125,3.8333e-06,0.0001,298.27,0
0.0001375,0,0.0001,294.71,0
0.0001375,3.8333e-06,0.0001,299.39,0
0.00015,0,0.0001,295.04,0
0.00015,3.8333e-06,0.0001,300.68,0
0.0001625,0,0.0001,295.41,0
0.0001625,3.8333e-06,0.0001,302.16,0
0.000175,0,0.0001,295.83,0
0.000175,3.8333e-06,0.0001,303.85,0
0.0001875,0,0.0001,296.31,0
0.0001875,3.8333e-06,0.0001,305.76,0
0.0002,0,0.0001,296.85,0
0.0002,3.8333e-06,0.0001,307.9,0
0.0002125,0,0.0001,297.46,0
0.0002125,3.8333e-06,0.0001,310.29,0
0.000225,0,0.0001,298.13,0
0.000225,3.8333e-06,0.0001,312.94,0
0.0002375,0,0.0001,298.87,0
0.0002375,3.8333e-06,0.0001,315.88,0
0.00025,0,0.0001,299.69,0
0.00025,3.8333e-06,0.0001,319.13,0
0.0002625,0,0.0001,300.6,0
0.0002625,3.8333e-06,0.0001,322.7,0
0.000275,0,0.0001,301.6,0
0.000275,3.8333e-06,0.0001,326.63,0
0.0002875,0,0.0001,302.7,0
0.0002875,3.8333e-06,0.0001,330.95,0
0.0003,0,0.0001,303.91,0
0.0003,3.8333e-06,0.0001,335.7,0
0.0003125,0,0.0001,305.25,0
0.0003125,3.8333e-06,0.0001,340.93,0
0.000325,0,0.0001,306.73,0
0.000325,3.8333e-06,0.0001,346.68,0
0.0003375,0,0.0001,308.36,0
0.0003375,3.8333e-06,0.0001,353,0
0.00035,0,0.0001,310.15,0
0.00035,3.8333e-06,0.0001,359.96,0
0.0003625,0,0.0001,312.13,0
0.0003625,3.8333e-06,0.0001,367.61,0
0.000375,0,0.0001,314.32,0
0.000375,3.8333e-06,0.0001,376,0
0.0003875,0,0.0001,316.71,0
0.0003875,3.8333e-06,0.0001,385.18,0
0.0004,0,0.0001,319.32,0
0.0004,3.8333e-06,0.0001,395.14,0
0.0004125,0,0.0001,322.15,0
0.0004125,3.8333e-06,0.0001,405.87,0
0.000425,0,0.0001,325.17,0
0.000425,3.8333e-06,0.0001,417.28,0
0.0004375,0,0.0001,328.34,0
0.0004375,3.8333e-06,0.0001,429.15,0
0.00045,0,0.0001,331.56,0
0.00045,3.8333e-06,0.0001,441.1,0
0.0004625,0,0.0001,334.66,0
0.0004625,3.8333e-06,0.0001,452.42,0
0.000475,0,0.0001,337.33,0
0.000475,3.8333e-06,0.0001,461.98,0
0.0004875,0,0.0001,339.14,0
0.0004875,3.8333e-06,0.0001,468.17,0
0.0005,0,0.0001,339.53,0
0.0005,3.8333e-06,0.0001,469.1,0
0.0005125,0,0.0001,338.03,0
0.0005125,3.8333e-06,0.0001,463.08,0
0.000525,0,0.0001,334.39,0
0.000525,3.8333e-06,0.0001,449.33,0
0.0005375,0,0.0001,328.83,0
0.0005375,3.8333e-06,0.0001,428.59,0
0.00055,0,0.0001,322.02,0
0.00055,3.8333e-06,0.0001,403.24,0
0.0005625,0,0.0001,314.93,0
0.0005625,3.8333e-06,0.0001,376.67,0
0.000575,0,0.0001,308.46,0
0.000575,3.8333e-06,0.0001,352.26,0
0.0005875,0,0.0001,303.22,0
0.0005875,3.8333e-06,0.0001,332.29,0
0.0006,0,0.0001,299.38,0
0.0006,3.8333e-06,0.0001,317.55,0
0.0006125,0,0.0001,296.82,0
0.0006125,3.8333e-06,0.0001,307.6,0
0.000625,0,0.0001,295.23,0
0.000625,3.8333e-06,0.0001,301.37,0
0.0006375,0,0.0001,294.29,0
0.0006375,3.8333e-06,0.0001,297.68,0
0.00065,0,0.0001,293.76,0
0.00065,3.8333e-06,0.0001,295.59,0
0.0006625,0,0.0001,293.47,0
0.0006625,3.8333e-06,0.0001,294.45,0
0.000675,0,0.0001,293.32,0
0.000675,3.8333e-06,0.0001,293.83,0
0.0006875,0,0.0001,293.24,0
0.0006875,3.8333e-06,0.0001,293.5,0
0.0007,0,0.0001,293.2,0
0.0007,3.8333e-06,0.0001,293.33,0
0.0007125,0,0.0001,293.17,0
0.0007125,3.8333e-06,0.0001,293.24,0
0.000725,0,0.0001,293.16,0
0.000725,3.8333e-06,0.0001,293.2,0
0.0007375,0,0.0001,293.16,0
0.0007375,3.8333e-06,0.0001,293.17,0
0.00075,0,0.0001,293.15,0
0.00075,3.8333e-06,0.0001,293.16,0
0.0007625,0,0.0001,293.15,0
0.0007625,3.8333e-06,0.0001,293.16,0
0.000775,0,0.0001,293.15,0
0.000775,3.8333e-06,0.0001,293.15,0
0.0007875,0,0.0001,293.15,0
0.0007875,3.8333e-06,0.0001,293.15,0
0.0008,0,0.0001,293.15,0
0.0008,3.8333e-06,0.0001,293.15,0
0.0008125,0,0.0001,293.15,0
0.0008125,3.8333e-06,0.0001,293.15,0
0.000825,0,0.0001,293.15,0
0.000825,3.8333e-06,0.0001,293.15,0
0.0008375,0,0.0001,293.15,0
0.0008375,3.8333e-06,0.0001,293.15,0
