"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
1e-05,0,0.0001,293.18,0,0,0,0,0,1,0,0,0,0,4680
0,0,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
1e-05,3.8333e-06,0.0001,293.29,0,0,0,0,0,1,0,0,0,0,4680
0,3.8333e-06,0.0001,293.18,0,0,0,0,0,1,0,0,0,0,4680
2e-05,0,0.0001,293.22,0,0,0,0,0,1,0,0,0,0,4680
2e-05,3.8333e-06,0.0001,293.43,0,0,0,0,0,1,0,0,0,0,4680
3e-05,0,0.0001,293.26,0,0,0,0,0,1,0,0,0,0,4680
3e-05,3.8333e-06,0.0001,293.58,0,0,0,0,0,1,0,0,0,0,4680
4e-05,0,0.0001,293.3,0,0,0,0,0,1,0,0,0,0,4680
4e-05,3.8333e-06,0.0001,293.73,0,0,0,0,0,1,0,0,0,0,4680
5e-05,0,0.0001,293.34,0,0,0,0,0,1,0,0,0,0,4680
5e-05,3.8333e-06,0.0001,293.9,0,0,0,0,0,1,0,0,0,0,4680
6e-05,0,0.0001,293.38,0,0,0,0,0,1,0,0,0,0,4680
6e-05,3.8333e-06,0.0001,294.08,0,0,0,0,0,1,0,0,0,0,4680
7e-05,0,0.0001,293.43,0,0,0,0,0,1,0,0,0,0,4680
7e-05,3.8333e-06,0.0001,294.28,0,0,0,0,0,1,0,0,0,0,4680
8e-05,0,0.0001,293.49,0,0,0,0,0,1,0,0,0,0,4680
8e-05,3.8333e-06,0.0001,294.5,0,0,0,0,0,1,0,0,0,0,4680
9e-05,0,0.0001,293.55,0,0,0,0,0,1,0,0,0,0,4680
9e-05,3.8333e-06,0.0001,294.74,0,0,0,0,0,1,0,0,0,0,4680
0.0001,0,0.0001,293.62,0,0,0,0,0,1,0,0,0,0,4680
0.0001,3.8333e-06,0.0001,295.01,0,0,0,0,0,1,0,0,0,0,4680
0.00011,0,0.0001,293.69,0,0,0,0,0,1,0,0,0,0,4680
0.00011,3.8333e-06,0.0001,295.31,0,0,0,0,0,1,0,0,0,0,4680
0.00012,0,0.0001,293.77,0,0,0,0,0,1,0,0,0,0,4680
0.00012,3.8333e-06,0.0001,295.64,0,0,0,0,0,1,0,0,0,0,4680
0.00013,0,0.0001,293.87,0,0,0,0,0,1,0,0,0,0,4680
0.00013,3.8333e-06,0.0001,296.01,0,0,0,0,0,1,0,0,0,0,4680
0.00014,0,0.0001,293.97,0,0,0,0,0,1,0,0,0,0,4680
0.00014,3.8333e-06,0.0001,296.41,0,0,0,0,0,1,0,0,0,0,4680
0.00015,0,0.0001,294.08,0,0,0,0,0,1,0,0,0,0,4680
0.00015,3.8333e-06,0.0001,296.86,0,0,0,0,0,1,0,0,0,0,4680
0.00016,0,0.0001,294.2,0,0,0,0,0,1,0,0,0,0,4680
0.00016,3.8333e-06,0.0001,297.35,0,0,0,0,0,1,0,0,0,0,4680
0.00017,0,0.0001,294.34,0,0,0,0,0,1,0,0,0,0,4680
0.00017,3.8333e-06,0.0001,297.89,0,0,0,0,0,1,0,0,0,0,4680
0.00018,0,0.0001,294.49,0,0,0,0,0,1,0,0,0,0,4680
0.00018,3.8333e-06,0.0001,298.49,0,0,0,0,0,1,0,0,0,0,4680
0.00019,0,0.0001,294.65,0,0,0,0,0,1,0,0,0,0,4680
0.00019,3.8333e-06,0.0001,299.13,0,0,0,0,0,1,0,0,0,0,4680
0.0002,0,0.0001,294.83,0,0,0,0,0,1,0,0,0,0,4680
0.0002,3.8333e-06,0.0001,299.84,0,0,0,0,0,1,0,0,0,0,4680
0.00021,0,0.0001,295.02,0,0,0,0,0,1,0,0,0,0,4680
0.00021,3.8333e-06,0.0001,300.61,0,0,0,0,0,1,0,0,0,0,4680
0.00022,0,0.0001,295.23,0,0,0,0,0,1,0,0,0,0,4680
0.00022,3.8333e-06,0.0001,301.45,0,0,0,0,0,1,0,0,0,0,4680
0.00023,0,0.0001,295.46,0,0,0,0,0,1,0,0,0,0,4680
0.00023,3.8333e-06,0.0001,302.36,0,0,0,0,0,1,0,0,0,0,4680
0.00024,0,0.0001,295.71,0,0,0,0,0,1,0,0,0,0,4680
0.00024,3.8333e-06,0.0001,303.34,0,0,0,0,0,1,0,0,0,0,4680
0.00025,0,0.0001,295.98,0,0,0,0,0,1,0,0,0,0,4680
0.00025,3.8333e-06,0.0001,304.4,0,0,0,0,0,1,0,0,0,0,4680
0.00026,0,0.0001,296.27,0,0,0,0,0,1,0,0,0,0,4680
0.00026,3.8333e-06,0.0001,305.55,0,0,0,0,0,1,0,0,0,0,4680
0.00027,0,0.0001,296.58,0,0,0,0,0,1,0,0,0,0,4680
0.00027,3.8333e-06,0.0001,306.8,0,0,0,0,0,1,0,0,0,0,4680
0.00028,0,0.0001,296.92,0,0,0,0,0,1,0,0,0,0,4680
0.00028,3.8333e-06,0.0001,308.14,0,0,0,0,0,1,0,0,0,0,4680
0.00029,0,0.0001,297.29,0,0,0,0,0,1,0,0,0,0,4680
0.00029,3.8333e-06,0.0001,309.59,0,0,0,0,0,1,0,0,0,0,4680
0.0003,0,0.0001,297.68,0,0,0,0,0,1,0,0,0,0,4680
0.0003,3.8333e-06,0.0001,311.15,0,0,0,0,0,1,0,0,0,0,4680
0.00031,0,0.0001,298.11,0,0,0,0,0,1,0,0,0,0,4680
0.00031,3.8333e-06,0.0001,312.84,0,0,0,0,0,1,0,0,0,0,4680
0.00032,0,0.0001,298.57,0,0,0,0,0,1,0,0,0,0,4680
0.00032,3.8333e-06,0.0001,314.65,0,0,0,0,0,1,0,0,0,0,4680
0.00033,0,0.0001,299.07,0,0,0,0,0,1,0,0,0,0,4680
0.00033,3.8333e-06,0.0001,316.61,0,0,0,0,0,1,0,0,0,0,4680
0.00034,0,0.0001,299.61,0,0,0,0,0,1,0,0,0,0,4680
0.00034,3.8333e-06,0.0001,318.73,0,0,0,0,0,1,0,0,0,0,4680
0.00035,0,0.0001,300.19,0,0,0,0,0,1,0,0,0,0,4680
