"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.solidToLiquid","p","p_rgh","rho"
0,0,0,301.3,0,0,0,0,0,1,0,99994,99994,4680
1e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
2e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
3e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
4e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
5e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
6e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
7e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
8e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
9e-05,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0001,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00011,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00012,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00013,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00014,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00015,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00016,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00017,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00018,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00019,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0002,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00021,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00022,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00023,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00024,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00025,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00026,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00027,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00028,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00029,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0003,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00031,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00032,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00033,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00034,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00035,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00036,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00037,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00038,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00039,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0004,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00041,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00042,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00043,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00044,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00045,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00046,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00047,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00048,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00049,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0005,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00051,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00052,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00053,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00054,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00055,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00056,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00057,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00058,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00059,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0006,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00061,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00062,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00063,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00064,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00065,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00066,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00067,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00068,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00069,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0007,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00071,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00072,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00073,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00074,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00075,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00076,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00077,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00078,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00079,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0008,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00081,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00082,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00083,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00084,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00085,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00086,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00087,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00088,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00089,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0009,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00091,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00092,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00093,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00094,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00095,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00096,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00097,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00098,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00099,0,0,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.001,0,0,301.3,0,0,0,0,0,1,0,99994,99994,4680
0,7.6667e-06,0,301.3,0,0,0,0,0,1,0,99977,99977,4680
1e-05,7.6667e-06,0,305.32,2.9989e-07,0.0002949,0,0,0,1,0,99977,99977,4680
2e-05,7.6667e-06,0,309.29,5.9506e-07,0.00029548,0,0,0,1,0,99977,99977,4680
3e-05,7.6667e-06,0,313.17,8.8091e-07,0.00029644,0,0,0,1,0,99977,99977,4680
4e-05,7.6667e-06,0,316.93,1.1531e-06,0.00029777,0,0,0,1,0,99977,99977,4680
5e-05,7.6667e-06,0,320.55,1.4078e-06,0.00029943,0,0,0,1,0,99977,99977,4680
6e-05,7.6667e-06,0,323.99,1.6415e-06,0.00030141,0,0,0,1,0,99976,99977,4680
7e-05,7.6667e-06,0,327.25,1.8515e-06,0.00030368,0,0,0,1,0,99976,99976,4680
8e-05,7.6667e-06,0,330.31,2.0354e-06,0.00030621,0,0,0,1,0,99976,99976,4680
9e-05,7.6667e-06,0,333.16,2.1918e-06,0.00030895,-1.2557e-30,0,0,1,0,99976,99976,4680
0.0001,7.6667e-06,0,335.79,2.3199e-06,0.00031188,-2.5236e-30,0,0,1,0,99976,99976,4680
0.00011,7.6667e-06,0,338.22,2.4196e-06,0.00031496,-1.2679e-30,0,0,1,0,99975,99976,4680
0.00012,7.6667e-06,0,340.44,2.4914e-06,0.00031814,0,0,0,1,0,99975,99975,4680
0.00013,7.6667e-06,0,342.45,2.5362e-06,0.0003214,-1.2918e-30,0,0,1,0,99975,99975,4680
0.00014,7.6667e-06,0,344.28,2.5558e-06,0.0003247,-2.597e-30,0,0,1,0,99975,99975,4680
0.00015,7.6667e-06,0,345.93,2.5521e-06,0.00032801,-1.3051e-30,0,0,1,0,99974,99975,4680
0.00016,7.6667e-06,0,347.42,2.5274e-06,0.0003313,0,0,0,1,0,99974,99974,4680
0.00017,7.6667e-06,0,348.75,2.4841e-06,0.00033454,0,0,0,1,0,99974,99974,4680
0.00018,7.6667e-06,0,349.93,2.4249e-06,0.00033772,-1.3727e-30,0,0,1,0,99974,99974,4680
0.00019,7.6667e-06,0,350.99,2.3524e-06,0.00034081,-2.7577e-30,0,0,1,0,99973,99974,4680
0.0002,7.6667e-06,0,351.93,2.2691e-06,0.0003438,-1.385e-30,0,0,1,0,99973,99973,4680
0.00021,7.6667e-06,0,352.76,2.1775e-06,0.00034667,0,0,0,1,0,99973,99973,4680
0.00022,7.6667e-06,0,353.49,2.0797e-06,0.00034942,-1.4028e-30,0,0,1,0,99973,99973,4680
0.00023,7.6667e-06,0,354.14,1.9779e-06,0.00035203,-2.8159e-30,0,0,1,0,99972,99973,4680
0.00024,7.6667e-06,0,354.72,1.8737e-06,0.00035452,-1.4131e-30,0,0,1,0,99972,99973,4680
0.00025,7.6667e-06,0,355.22,1.7687e-06,0.00035687,0,0,0,1,0,99972,99972,4680
0.00026,7.6667e-06,0,355.66,1.6641e-06,0.00035908,0,0,0,1,0,99972,99972,4680
0.00027,7.6667e-06,0,356.05,1.5609e-06,0.00036116,1.4485e-30,0,0,1,0,99972,99972,4680
0.00028,7.6667e-06,0,356.39,1.4598e-06,0.0003631,2.9044e-30,0,0,1,0,99972,99972,4680
0.00029,7.6667e-06,0,356.69,1.3616e-06,0.00036492,1.456e-30,0,0,1,0,99971,99972,4680
0.0003,7.6667e-06,0,356.96,1.2666e-06,0.00036661,0,0,0,1,0,99971,99972,4680
0.00031,7.6667e-06,0,357.19,1.175e-06,0.00036818,0,0,0,1,0,99971,99971,4680
