"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.18,0
0,0,0.0001,293.16,0
1.25e-05,3.8333e-06,0.0001,293.27,0
0,3.8333e-06,0.0001,293.18,0
2.5e-05,0,0.0001,293.21,0
2.5e-05,3.8333e-06,0.0001,293.4,0
3.75e-05,0,0.0001,293.25,0
3.75e-05,3.8333e-06,0.0001,293.54,0
5e-05,0,0.0001,293.28,0
5e-05,3.8333e-06,0.0001,293.68,0
6.25e-05,0,0.0001,293.32,0
6.25e-05,3.8333e-06,0.0001,293.85,0
7.5e-05,0,0.0001,293.37,0
7.5e-05,3.8333e-06,0.0001,294.03,0
8.75e-05,0,0.0001,293.42,0
8.75e-05,3.8333e-06,0.0001,294.24,0
0.0001,0,0.0001,293.48,0
0.0001,3.8333e-06,0.0001,294.47,0
0.0001125,0,0.0001,293.55,0
0.0001125,3.8333e-06,0.0001,294.74,0
0.000125,0,0.0001,293.62,0
0.000125,3.8333e-06,0.0001,295.04,0
0.0001375,0,0.0001,293.71,0
0.0001375,3.8333e-06,0.0001,295.38,0
0.00015,0,0.0001,293.81,0
0.00015,3.8333e-06,0.0001,295.77,0
0.0001625,0,0.0001,293.91,0
0.0001625,3.8333e-06,0.0001,296.2,0
0.000175,0,0.0001,294.04,0
0.000175,3.8333e-06,0.0001,296.69,0
0.0001875,0,0.0001,294.17,0
0.0001875,3.8333e-06,0.0001,297.23,0
0.0002,0,0.0001,294.32,0
0.0002,3.8333e-06,0.0001,297.83,0
0.0002125,0,0.0001,294.49,0
0.0002125,3.8333e-06,0.0001,298.5,0
0.000225,0,0.0001,294.68,0
0.000225,3.8333e-06,0.0001,299.24,0
0.0002375,0,0.0001,294.88,0
0.0002375,3.8333e-06,0.0001,300.06,0
0.00025,0,0.0001,295.11,0
0.00025,3.8333e-06,0.0001,300.96,0
0.0002625,0,0.0001,295.36,0
0.0002625,3.8333e-06,0.0001,301.94,0
0.000275,0,0.0001,295.63,0
0.000275,3.8333e-06,0.0001,303.03,0
0.0002875,0,0.0001,295.93,0
0.0002875,3.8333e-06,0.0001,304.22,0
