"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.18,0
0,0,0.0001,293.16,0
1.25e-05,3.8333e-06,0.0001,293.26,0
0,3.8333e-06,0.0001,293.18,0
2.5e-05,0,0.0001,293.21,0
2.5e-05,3.8333e-06,0.0001,293.37,0
3.75e-05,0,0.0001,293.24,0
3.75e-05,3.8333e-06,0.0001,293.49,0
5e-05,0,0.0001,293.27,0
5e-05,3.8333e-06,0.0001,293.62,0
6.25e-05,0,0.0001,293.31,0
6.25e-05,3.8333e-06,0.0001,293.77,0
7.5e-05,0,0.0001,293.35,0
7.5e-05,3.8333e-06,0.0001,293.93,0
8.75e-05,0,0.0001,293.39,0
8.75e-05,3.8333e-06,0.0001,294.12,0
0.0001,0,0.0001,293.45,0
0.0001,3.8333e-06,0.0001,294.33,0
0.0001125,0,0.0001,293.51,0
0.0001125,3.8333e-06,0.0001,294.57,0
0.000125,0,0.0001,293.57,0
0.000125,3.8333e-06,0.0001,294.84,0
0.0001375,0,0.0001,293.65,0
0.0001375,3.8333e-06,0.0001,295.15,0
0.00015,0,0.0001,293.74,0
0.00015,3.8333e-06,0.0001,295.51,0
0.0001625,0,0.0001,293.84,0
0.0001625,3.8333e-06,0.0001,295.9,0
0.000175,0,0.0001,293.95,0
0.000175,3.8333e-06,0.0001,296.34,0
0.0001875,0,0.0001,294.07,0
0.0001875,3.8333e-06,0.0001,296.84,0
0.0002,0,0.0001,294.21,0
0.0002,3.8333e-06,0.0001,297.39,0
0.0002125,0,0.0001,294.37,0
0.0002125,3.8333e-06,0.0001,298,0
0.000225,0,0.0001,294.54,0
0.000225,3.8333e-06,0.0001,298.68,0
0.0002375,0,0.0001,294.72,0
0.0002375,3.8333e-06,0.0001,299.43,0
0.00025,0,0.0001,294.93,0
0.00025,3.8333e-06,0.0001,300.25,0
0.0002625,0,0.0001,295.16,0
0.0002625,3.8333e-06,0.0001,301.15,0
0.000275,0,0.0001,295.4,0
0.000275,3.8333e-06,0.0001,302.14,0
0.0002875,0,0.0001,295.68,0
0.0002875,3.8333e-06,0.0001,303.23,0
0.0003,0,0.0001,295.98,0
